client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
Nature's Path,Nature's Path,12/19/2021,sponsoredProducts,Branded,318.72,131391,243,1893.76,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredProducts,Category,210.66,78366,217,1248.52,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredProducts,Product Targeting,0,13,0,0,233659.81
Nature's Path,Nature's Path,12/19/2021,sponsoredProducts,Uncategorized,0,0,0,0,233659.81
KIND,KIND,8/18/2019,sponsoredBrands,Branded,3463.48,103847,1062,13690.26,815977.82
KIND,KIND,8/18/2019,sponsoredBrands,Category,7961.05,615543,1661,4063.18,815977.82
KIND,KIND,8/18/2019,sponsoredBrands,Competitive,49.08,39391,43,113.81,815977.82
KIND,KIND,8/18/2019,sponsoredBrands,Uncategorized,NULL,NULL,NULL,NULL,815977.82
KIND,KIND,8/18/2019,sponsoredProducts,Auto,7111.88,3131943,3500,16004.06,815977.82
KIND,KIND,8/18/2019,sponsoredProducts,Branded,18263.53,1755878,8172,78407.16,815977.82
KIND,KIND,8/18/2019,sponsoredProducts,Category,43624.8,3435254,8607,42512.86,815977.82
KIND,KIND,8/18/2019,sponsoredProducts,Competitive,1376.67,274221,498,2365.62,815977.82
KIND,KIND,4/24/2022,sponsoredBrands,Branded,523.73,33445,355,3177.45,1910205.48
KIND,KIND,4/24/2022,sponsoredBrands,Category,913.29,82732,228,1177.7,1910205.48
KIND,KIND,4/24/2022,sponsoredBrands,Competitive,0,0,0,0,1910205.48
KIND,KIND,4/24/2022,sponsoredBrands,Uncategorized,0,0,0,0,1910205.48
KIND,KIND,4/24/2022,sponsoredBrandsVideo,Branded,0,0,0,0,1910205.48
KIND,KIND,4/24/2022,sponsoredBrandsVideo,Category,1888.74,231141,694,2209.15,1910205.48
KIND,KIND,4/24/2022,sponsoredBrandsVideo,Competitive,0,0,0,0,1910205.48
KIND,KIND,4/24/2022,sponsoredProducts,Auto,2052.28,1223378,623,2336.31,1910205.48
KIND,KIND,4/24/2022,sponsoredProducts,Branded,8336.37,751557,3545,47178.31,1910205.48
KIND,KIND,4/24/2022,sponsoredProducts,Category,2849.6,807691,936,6346.81,1910205.48
KIND,KIND,4/24/2022,sponsoredProducts,Competitive,150.27,81555,27,104.28,1910205.48
Nature's Path,Nature's Path,4/5/2020,sponsoredBrands,Branded,105.37,2538,57,321.46,247751.56
Nature's Path,Nature's Path,4/5/2020,sponsoredBrands,Category,364.33,7799,129,500.99,247751.56
Nature's Path,Nature's Path,4/5/2020,sponsoredProducts,Auto,853.82,335812,864,4993.48,247751.56
Nature's Path,Nature's Path,4/5/2020,sponsoredProducts,Branded,794.58,87500,685,6556.55,247751.56
Nature's Path,Nature's Path,4/5/2020,sponsoredProducts,Category,2534.8,539242,1782,8285.32,247751.56
Nature's Path,Nature's Path,4/5/2020,sponsoredProducts,Competitive,218.9,43673,106,185.24,247751.56
Nature's Path,Nature's Path,2/6/2022,sponsoredBrands,Branded,132.92,4857,76,582.14,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredBrands,Category,76.81,14039,55,386.69,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredBrandsVideo,Branded,0.9,14,1,0,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredProducts,Auto,124.78,92266,147,601.26,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredProducts,Branded,171.4,72334,139,1029.9,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredProducts,Category,327.15,136458,419,2215.85,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredProducts,Product Targeting,0,13,0,0,413347.16
Nature's Path,Nature's Path,2/6/2022,sponsoredProducts,Uncategorized,0,0,0,0,413347.16
KIND,KIND,8/2/2020,sponsoredBrands,Branded,3213.02,136105,2192,23980.09,902573.03
KIND,KIND,8/2/2020,sponsoredBrands,Category,1249.31,334119,369,1074.61,902573.03
KIND,KIND,8/2/2020,sponsoredBrands,Competitive,147.02,55183,65,216.28,902573.03
KIND,KIND,8/2/2020,sponsoredBrands,Uncategorized,0,0,0,0,902573.03
KIND,KIND,8/2/2020,sponsoredBrandsVideo,Branded,290.11,20424,319,3580.83,902573.03
KIND,KIND,8/2/2020,sponsoredBrandsVideo,Category,9.84,302,3,0,902573.03
KIND,KIND,8/2/2020,sponsoredBrandsVideo,Competitive,0,0,0,0,902573.03
KIND,KIND,8/2/2020,sponsoredProducts,Auto,11475.16,6711795,6002,19815.65,902573.03
KIND,KIND,8/2/2020,sponsoredProducts,Branded,23496.18,1859908,10058,97966.03,902573.03
KIND,KIND,8/2/2020,sponsoredProducts,Category,21878.12,3483036,5856,28843.45,902573.03
KIND,KIND,8/2/2020,sponsoredProducts,Competitive,1667.4,962845,651,3857.29,902573.03
KIND,KIND,3/8/2020,sponsoredBrands,Branded,3759.14,89240,2397,35857.85,1266858.73
KIND,KIND,3/8/2020,sponsoredBrands,Category,1256.37,291722,736,6508.57,1266858.73
KIND,KIND,3/8/2020,sponsoredBrands,Competitive,333.59,81406,188,976.42,1266858.73
KIND,KIND,3/8/2020,sponsoredBrands,Uncategorized,0,0,0,0,1266858.73
KIND,KIND,3/8/2020,sponsoredProducts,Auto,654.36,995336,2414,20243.22,1266858.73
KIND,KIND,3/8/2020,sponsoredProducts,Branded,35156.01,1683494,11838,194489.01,1266858.73
KIND,KIND,3/8/2020,sponsoredProducts,Category,44786.64,3682464,11421,94826.96,1266858.73
KIND,KIND,3/8/2020,sponsoredProducts,Competitive,11067.11,1973641,2419,24669.37,1266858.73
Nature's Path,Nature's Path,7/11/2021,sponsoredBrands,Branded,213.07,11730,169,1217.11,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredBrands,Category,9.1,16604,7,7.22,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredBrandsVideo,Branded,21.99,443,9,83.19,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredProducts,Auto,401.63,150257,313,686.32,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredProducts,Branded,699.47,233898,646,4959.01,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredProducts,Category,811.23,213433,596,2942.69,367556.74
Nature's Path,Nature's Path,7/11/2021,sponsoredProducts,Product Targeting,3.27,391,3,13.96,367556.74
KIND,KIND,8/22/2021,sponsoredBrands,Branded,427.29,40674,248,1848.01,1450405.75
KIND,KIND,8/22/2021,sponsoredBrands,Category,1483.39,266398,450,915.85,1450405.75
KIND,KIND,8/22/2021,sponsoredBrands,Competitive,0,0,0,0,1450405.75
KIND,KIND,8/22/2021,sponsoredBrands,Uncategorized,0,0,0,0,1450405.75
KIND,KIND,8/22/2021,sponsoredBrandsVideo,Branded,0,0,0,0,1450405.75
KIND,KIND,8/22/2021,sponsoredBrandsVideo,Category,550.58,86845,316,881.48,1450405.75
KIND,KIND,8/22/2021,sponsoredBrandsVideo,Competitive,0,0,0,0,1450405.75
KIND,KIND,8/22/2021,sponsoredDisplay,Category,481.71,118155,218,814,1450405.75
KIND,KIND,8/22/2021,sponsoredProducts,Auto,592.66,212618,306,1435.11,1450405.75
KIND,KIND,8/22/2021,sponsoredProducts,Branded,9100.8,680383,4724,44905.98,1450405.75
KIND,KIND,8/22/2021,sponsoredProducts,Category,7675.29,2551696,2683,8667.17,1450405.75
KIND,KIND,8/22/2021,sponsoredProducts,Competitive,23.58,12663,19,14.99,1450405.75
KIND,KIND,8/22/2021,sponsoredProducts,Uncategorized,0,0,0,0,1450405.75
KIND,KIND,11/29/2020,sponsoredBrands,Branded,3591.37,247064,1730,10964.53,914165.34
KIND,KIND,11/29/2020,sponsoredBrands,Category,17386.46,2773692,2465,3451.56,914165.34
KIND,KIND,11/29/2020,sponsoredBrands,Competitive,0,0,0,0,914165.34
KIND,KIND,11/29/2020,sponsoredBrands,Uncategorized,0,0,0,0,914165.34
KIND,KIND,11/29/2020,sponsoredBrandsVideo,Branded,0,0,0,0,914165.34
KIND,KIND,11/29/2020,sponsoredBrandsVideo,Category,0,0,0,0,914165.34
KIND,KIND,11/29/2020,sponsoredBrandsVideo,Competitive,0,0,0,0,914165.34
KIND,KIND,11/29/2020,sponsoredProducts,Auto,2476.54,2387302,1123,3677.7,914165.34
KIND,KIND,11/29/2020,sponsoredProducts,Branded,12066.13,2037607,4190,33077.43,914165.34
KIND,KIND,11/29/2020,sponsoredProducts,Category,13603.95,2611124,3043,8513.09,914165.34
KIND,KIND,11/29/2020,sponsoredProducts,Competitive,55.03,28577,50,59.39,914165.34
Nature's Path,Nature's Path,3/28/2021,sponsoredBrands,Branded,79.39,5832,85,734.55,358554.68
Nature's Path,Nature's Path,3/28/2021,sponsoredBrands,Category,168.93,29260,82,358.58,358554.68
Nature's Path,Nature's Path,3/28/2021,sponsoredBrandsVideo,Branded,0,0,0,0,358554.68
Nature's Path,Nature's Path,3/28/2021,sponsoredProducts,Auto,466.2,157293,276,1125.01,358554.68
Nature's Path,Nature's Path,3/28/2021,sponsoredProducts,Branded,0,0,0,0,358554.68
Nature's Path,Nature's Path,11/28/2021,sponsoredBrands,Branded,196.49,5578,102,592.1,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredBrands,Category,222.12,26575,101,219.99,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredBrandsVideo,Branded,7.37,256,7,39.79,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredProducts,Auto,539.02,177741,287,1664.89,404142.22
Nature's Path,Nature's Path,11/28/2021,sponsoredProducts,Branded,510.66,179827,331,2600.27,404142.22
